Close,Volume,Return_1d,Return_5d,Volatility_7d,Vol_Change_1d,RSI_14,Date,time_idx,group_id,target,year,month,day_of_month,day_of_week,is_month_end,month_sin,month_cos,day_of_week_sin,day_of_week_cos,log_Volume
-1.864193854859421,162958400,0.3028453185681963,2.0449719949302376,1.127423522927827,-1.1089517560588327,0.6841125509298476,2019-01-31,0,AAPL,1,2019,1,31,3,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.4880685106508573
-1.8638312809496502,130672400,-0.03702097456710353,1.2058532810695979,1.1460962495289946,-0.7124396429000163,0.8582387696419501,2019-02-01,1,AAPL,1,2019,2,1,4,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0244392194416891
-1.8423946085444778,125982000,1.3751425364985823,2.183042827747495,1.0660252705022473,-0.23670245278515173,1.325156664993545,2019-02-04,4,AAPL,1,2019,2,4,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9476839299496084
-1.829115676224394,144406400,0.8039152038546553,2.923872709858675,0.9805441631950039,0.29742291226713025,1.3205289510649978,2019-02-05,5,AAPL,1,2019,2,5,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.2342848676273024
-1.828843693926639,112958400,-0.04390470815182611,1.1784535036361212,0.8693498033699343,-0.770063334126957,1.2573673595072754,2019-02-06,6,AAPL,0,2019,2,6,2,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.7185597703640524
-1.843799539223651,126966800,-1.0191160254016338,0.5119485571015087,1.0193225659773981,0.23222637577019967,0.8324828760737509,2019-02-07,7,AAPL,0,2019,2,7,3,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.9640338789336523
-1.8462015308662183,95280000,-0.21812429172994077,0.422412460728018,-0.18868222416977065,-0.8632968948924358,0.7302590945835429,2019-02-08,8,AAPL,0,2019,2,8,4,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.36118199189612105
-1.8506430093954847,83973600,-0.3521582342808487,-0.4053904150451415,-0.15067213823822734,-0.47942643928192896,1.0201524198478173,2019-02-11,11,AAPL,1,2019,2,11,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.09594616713298716
-1.8440261565614955,89134000,0.3744511454977751,-0.6065836187860594,-0.13981187974076267,0.04876650639390699,1.0564276161631334,2019-02-12,12,AAPL,0,2019,2,12,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.22117222718880966
-1.847243956789523,89960800,-0.27143954653402713,-0.7140595291365455,-0.5443876751159823,-0.10424115640255426,1.1188767137982103,2019-02-13,13,AAPL,1,2019,2,13,2,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.2405596180774593
